Cluster,Subcluster,Keywords
Cluster 5 - Digital Governance,SubCluster  6,"['intuitive_judgement', 'experts', 'treat_intelligence', 'advanced_persistent_treats_apt', 'behavioral_comprehensiveness', 'credible_threat', 'human_intelligence', 'proof_of_authority', 'remote_attestation', 'channel_wise_attention', 'authenticated_communication', 'expert_assessment', 'expert_systems', 'alert_prediction', 'tacit_algorithm', 'efficient_data_acquisition', 'human_attitude', 'expert_analytical_modeling', 'expert_knowledge', 'sensitive_information', 'information_competence', 'foresight', 'smart_threat_identification', 'personally_identifiable_information', 'user_awareness', 'structured_expert_judgement', 'rate_aware_jammers', 'interpretability', 'character_aware', 'literacy', 'robust_control', 'location_awareness', 'people_oriented', 'intuitive_judgment', 'it_awareness', 'expert_opinions', 'intuition', 'public_awareness', 'employees_awareness', 'skill', 'talent_cultivating', 'state_awareness', 'common_knowledge', 'expert_rules', 'pragmatics_understanding', 'expert_evaluation', 'self_adaptive_control', 'culturally_relevant', 'sense_and_respond', 'self_attention', 'human_values', 'e_listening', 'knowledge', 'rational_judgement', 'expert_judgement', 'skills', 'intelligent_sensing', 'self_awareness', 'rational_judgment', 'holistic_view', 'intelligence', 'sensitivity', 'expert_estimation', 'reputation.', 'expert_management_systems', 'intrusion_tolerant', 'actionable_intelligence', 'alert_correlation', 'wearable_sensors', 'recognized_air_picture', 'diplomacy', 'procedural_knowledge', 'expert_reviews', 'e_awareness', 'reputation', 'and_awareness_seta', 'alerting_systems', 'information_strongconnectedness', 'high_availability', 'robust_nonlinear_control', 'alert_validator', 'expert_system', 'coordinated_detection']"
Cluster 5 - Digital Governance,SubCluster  7,"['chain_of_trust', 'mutual_recognition', 'trusted_systems', 'trust_in_collaborative_environments', 'assurance_cases', 'trusted_forwarding', 'trustworthy_systems', 'trusted_hardware_platform', 'habitual_trust', 'trust_and_adoption', 'meaning_of_trust', 'behavioral_trust', 'trust_calibration', 'data_trusts', 'pki_trust', 'trust_in_it', 'trust_evaluation', 'hardware_root_of_trust', 'trust_relationships', 'assurance_services', 'mission_assurance', 'distributed_trust.', 'trusted_robot', 'consumer_confidence', 'information_assurance_controls', 'confidence_building_measures', 'trustworthiness_management', 'user_trust', 'mutual_awareness', 'separation_of_trust', 'trust_model', 'conceptual_analysis_of_trust', 'trusted_artificial_intelligence', 'trust_level', 'trustzone', 'trusted_third_force', 'trusted_relay', 'public_confidence', 'trustiness', 'trust_modelling', 'evidence_based_trust', 'trust_computation_and_management', 'arm_trustzone', 'trustworthiness_requirements', 'trusted_software', 'root_of_trust', 'trust_ınformation_technology_adoption_models', 'trustworthiness_of_ras', 'assurance_layers', 'trust_indicators', 'technology_trust', 'trusted_platform_module', 'trust_and_suspicion', 'trust_index', 'software_assurance', 'computational_trust', 'assurance_case', 'information_trustworthiness', 'firmware_assurance', 'hardware_assurance', 'data_trust', 'strategic_trust', 'trusted_node', 'assurance_level', 'customer_loyalty', 'trust_in_automation', 'trust_management', 'trusted_computing', 'trust', 'confidence_interbals', 'trusted_execution_environments_tees', 'technological_trust', 'belief', 'trust_assessment', 'information_assurance', 'relationship_trust', 'confidence_calibration']"
Cluster 5 - Digital Governance,SubCluster  8,"['actionable_mitigations', 'community_resilience', 'alert_fatigue', 'organisational_readiness', 'organisational\\xa0resilience', 'infrastructure_readiness', 'resilience_index', 'r_robustness', 'digital_resilience', 'societal_resilience', 'sustain_ab_ility', 'mission_resilience', 'and_resilience', 'resilience_applications', 'active_and_healthy_ageing', 'time_resilience', 'process_resilience', 'energy_resilience', 'sustainable_development', 'situational_support', 'resilience_framework', 'system_resilience', 'resilienz', 'support_equipment', 'sustainability', 'healthy_aging', 'regional_resilience', 'resilient_algorithms', 'peacebuilding', 'resilient_consensus', 'urban_transportation_resilience', 'continuous_deployment', 'resilient_system', 'high_reliability_organizations_hros', 'operational_resilience', 'organic_reach', 'resilience_metrics', 'due_diligence', 'it_support', 'jamming_resilient', 'information_system_resilience', 'resilient_operation', 'resilient_infrastructure', 'threat_mitigation_and_resilience', 'beneficence', 'resilience_engineering', 'hypervigilance', 'resilient_path_planning', 'resilient_controller', 'resilient_engineering', 'proactive_strategies', 'adversarial_robustness', 'greater_sustainability', 'resilient_architecture', 'sustainable_development_goals', 'durable_medium', 'robust_synthesis', 'data_resilience', 'self_sufficiency_and_working_capital', 'robust_design', 'extensible_structures', 'robust_and_scalable', 'resilient_systems_and_networks', 'continual_course_improvement', 'supply_chain_resilience', 'holistic_approach', 'attentive_mechanism', 'resilience_management']"
Cluster 5 - Digital Governance,SubCluster  9,"['secure_smart_city', 'smart_contracts', 'smart_living', 'smart_glasses', 'smart_city.', 'intelligent_technique', 'trustworthy_artificial_intelligence', 'smart_house', 'great_powers', 'smart_assistant', 'smart_ports', 'smart_city', 'smart_government', 'smart_services', 'smart_phones', 'smart_clothing', 'smart_citizens_identity', 'smart_airports', 'intelligent_appreciate', 'smart_garments', 'intelligent_coach', 'smartwatch', 'smart_homes', 'smart_people', 'smart_vehicles', 'intelligent_hints', 'smart_building', 'highly_available_systems', 'super_smart_society', 'smart_structures', 'intelligent_control', 'smart_meters', 'smart_traffic.', 'smart_home', 'smart_airport', 'smart_first_responders', 'sustainable_city', 'smart_economy', 'smart_breaker', 'smart_vehicle', 'smart_farming', 'smart_transportation', 'smart_cards', 'brain_wearables', 'smart_toys', 'intelligent_personal_assistant', 'smart_agriculture', 'smart_parking', 'smart_farm', 'smart_production', 'smart_tv', 'smart_card', 'smart_grid_reliability', 'smart_sustainable_cities', 'smart_residential', 'smart_gird_standards', 'intelligent_level', 'smart_device', 'smart_devices_smart_objects', 'intelligent_feeds', 'reliable_ai', 'aquila_optimizer', 'smart_society', 'smart_world', 'trustworthy_ai', 'smart_wearable_devices', 'smart_environment', 'clean_energy', 'smart_data', 'smart_buildings', '""smart""_things', 'efficient_features', 'intelligent_cps', 'secure_agile', 'smart_mobility', 'smart_objects', 'smart_health', 'intelligent', 'bright_society', 'intelligent_decision_making', 'smart_it', 'smartgrid', 'smart_intelligence', 'smart_bags', 'intelligent_evaluation', 'smart_governance', 'smart_port', 'smart_ships', 'intelligent_agents', 'smart_home_control', 'smart_community', 'smart_office', 'smart_meter']"
Cluster 5 - Digital Governance,SubCluster  10,"['hands_on_experience', 'quality_parameters', 'professionalization', 'agile_model', 'team_effectiveness', 'quality_of_life', 'service_quality', 'professional_certificates', 'human_enhancement', 'life_work_balance', 'cost_effective', 'professional_competences', 'fair_competition', 'benefit_perception', 'legitimate_expectations', 'patch_quality', 'professional_skills', 'control_effectiveness', 'smes_survival', 'cost_savings', 'tacit_bargaining', 'software_quality', 'professional_product', 'work_ready', 'institution_quality', 'radiated_immunity', 'quality_of_service_qos', 'heuristic_evaluation', 'perceived_benefit', 'socially_optimal', 'quality_improvement', 'improved_implementation_of_functional_safety_work_products', 'wearable_device', 'idealness_assessment', 'career_choice', 'nice_framework', 'maturity_indicator_level', 'bi_level_optimisation', 'best_of_suite', 'optimal_design', 'service_level', 'essential_services', 'best_single_feature', 'productivity', 'optimal_filtering', 'recursive_self_improvement', 'course_benefits', 'optimal_sequence', 'firm_incentives', 'competence_assessment', 'professional', 'overall_efficiency', 'expected_utility', 'knowledge_improvement', 'reachability_region', 'practical_experiences', 'manageability_capability', 'cost_and_benefit', 'quality_indicators', 'cost_saving', 'maturity_levels', 'optimal_strategies', 'ease_of_doing_business', 'key_establishment', 'complementary_advantages', 'solution_quality', 'performativity', 'sustainable_performance', 'earned_value', 'human_preparedness', 'lived_experiences', 'service_reliability', 'e_competence_framework', 'product_reliability', 'efficientnet_b1', 'best_actions', 'quality_model', 'operational_effectiveness', 'user_acceptance', 'functionality', 'response_efficacy', 'job_satisfaction', 'level_of_operational_effectiveness', 'quality_modeling', 'usability_evaluation', 'maturity_level', 'sustainable_manufacturing', 'optimal_reception', 'performance/effectiveness', 'capability_improvement', 'competence_model', 'quality_of_service', 'success_metrics', 'practical_skills', 'is_success_model', 'self_adaptive_immunity', 'operational_reliability', 'best_practices', 'e_gov_effectiveness', 'it_lay_competences', 'disclosure_guidance', 'human_reliability_assesment', 'equal_opportunities', 'quality_assurance', 'productive_power', 'fair_model', 'survival_processing', 'mission_effectiveness', 'basic_service', 'overall_equipment_effectiveness', 'optimal_control', 'optimal_operation', 'realistic_prediction_performance_evaluation', 'self_adaptation', 'typical_tasks', 'self_efficacy', 'effective_practices', 'operational_success', 'connected_home', 'willingness_to_use', 'best_of_breed', 'smart_contract_sc', 'robust_optimization', 'good_practices', 'operator_support', 'quality_attribute', 'availability_heuristic', 'fitness_value', 'quality_control', 'best_practice', 'professional_competencies', 'capability_maturity', 'performance_level_pl', 'willingness_to_pay', 'it_professional', 'systematic_collaboration', 'cost_effectiveness', 'optimised_availability', 'repair', 'human_performance', 'optimal_mitigations', 'smart_contract', 'process_improvement', 'agile_methodologies', 'reliability_management', 'self_repair', 'total_productive_maintenance', 'social_good']"
Cluster 6 - Cyber Risk Assessment,SubCluster  1,"['theory_games', 'stochastic_game_theory', 'edge_game', 'behavioral_game_theory', 'extensive_form_game', 'game_of_games', 'political_risk', 'challenge_solve_time', 'serious_mobile_games', 'hard_problem_strategies', 'serious_games', 'signaling_game', 'campaign_trigger', 'combat_system', 'competitive_advantage', 'e_bidding', 'battlefield', 'problem_solving', 'contentious_politics', 'just_war_theory', 'serious_games.', 'competitiveness_rating', 'game_theoretical_decisions', 'pressure_resistance_game', 'warfare_domains.', 'game_analysis', 'threat_scoring', 'conflict_resolution', 'game_theory', 'serious_game', 'political_warfare', 'wargame', 'serious_games_analytics', 'combat_experience', 'political_uncertainty', 'dynamic_games', 'repeated_games', 'endless_wars', 'differential_nash_game', 'covid_19_challenges', 'warfighting', 'applied_game', 'dynamic_game.', 'dispute_resolution', 'laws_of_armed_conflict', 'battle_management', 'threat_score', 'theory_of_games', 'stochastic_game', 'information_war', 'armed_conflict', 'persistent_engagement', 'just_war']"
Cluster 6 - Cyber Risk Assessment,SubCluster  2,"['threat_intelligence_monitoring', 'network_threat_prediction', 'threat_response', 'threat_prediction', 'new_threats', 'national_threat_modelling', 'threat_information_sharing', 'social_threats', 'communicating_risk', 'threat_impact_estimation', 'threat_agent', 'the_theory_of_danger', 'physical_threats', 'advanced_persistent_threat_apt', 'anomalies_detection', 'threat_models', 'threat_assessment', 'perceived_threats', 'internal_threats', 'threat_discovery', 'risk_perception_and_communication', 'threat_identification', 'threat_actor_context_ontology', 'threat_risk_assessment', 'threats_propagation', 'iiot_threats', 'risk_intelligence', 'threat_agent_capabilities', 'adversary_agent', 'advanced_persistent_threat', 'threat_and_risk_assessment', 'threat_profiling', 'danger_theory_model', 'threat_modeling', 'adversary_models', 'threat_classifier', 'threat_dynamics', 'harassment_detection', 'information_threats', 'maritime_threat_actors', 'threat_vector', 'threat_model', 'threathunting', 'public_danger', 'cloud_threats', 'emerging_iot_threats', 'threat_intelligence_ti', 'threats_and_solutions', 'threat_intelligence_sharing', 'risk_communication', 'threat_oriented_analysis', 'structure_threat_information_expression', 'threat_intelligence', 'threat_perception', 'perceived_threat', 'threatcasting', 'threat_perceptions', 'threats_to_critical_infrastructure', 'suspicious_activities', 'emerging_threats', 'threat_analytics', 'threat_agent_motivations', 'threat_information', 'threat_types', 'threat_report', 'threat_actors', 'threat_data_exchange', 'threat_action', 'threat_sharing', 'operationally_critical_threat', 'threat_analysis', 'threat_actor', 'classified_communication', 'threats_and_vulnerabilities', 'risk_communication,_risk_perception', 'risk_communication_behaviour', 'rumor_identification', 'threat_modelling', 'threat_trapping', 'danger_theory', 'multi_stage_threats', 'potential_threats', 'iot_threats', 'risk_and_threat_propagation', 'threats_mitigation', 'threat_type_identification', 'threat_attribution', 'threat', 'imminent_threat', 'adversary_behavior', 'threat_intelligence_exchange', 'external_threats', 'threats_analysis', 'threat_management', 'threat_data', 'kinetic_threats', 'threat_intelligence_platforms_tips', 'advanced_persistent_threats_apts', 'mobile_threats', 'information_threat', 'data_threat', 'advanced_persistent_threats', 'threatening_images', 'event‐based_threat_detection', 'threat_agents', 'smart_city_threat_model', 'threats', 'threat_detection']"
Cluster 6 - Cyber Risk Assessment,SubCluster  3,"['fear_appeal', 'affect_and_emotions', 'failure_mode_and_effect_analysis', 'alteration_risk', 'critical_organisations', 'cloud_territory', 'impact_analysis', 'compromising_emanations', 'dark_triad_of_personality_traits', 'blame_attribution', 'crisis_communication', 'fault_trees', 'critical_infrastacture', 'system_complexity', 'incident_cost', 'ethical_challenges', 'origin_responsibility', 'varied_communication_range', 'responsible_behaviour', 'criticality_analysis', 'critical_thinking', 'trait_affect', 'critical_infra_structure', 'line_overloading', 'fault_thresholds', 'digital_risks', 'asset_damage', 'entropic_value_at_risk', 'covid_19_pandemic', 'de_noise_suppressor', 'critical_infraestructures', 'interdependent_risk', 'influential_spreaders', 'failure_modes_and_effects_analysis', 'catastrophe_value_curve', 'critical_incident', 'spectrum_of_influence', 'critical_factors', 'edge_cover', 'problem_definition', 'broadcast_storm', 'criticality_assessment', 'operational_disruption', 'critically_important_infrastructure', 'information_wars', 'historical_analogies', 'noise_figure', 'calibration_risks', 'time_constraints', 'social_challenges', 'jurisdictional_arbitrage', 'disturbance_analysis', 'heartbleed_bug', 'ambiguity_bias', 'uncertainty', 'chronic_pain', 'value_conflict', 'international_liability', 'abuse_of_dominance', 'hard_law', 'cascading_disasters', 'virus_total', 'anomaly_management', 'anomalous_resource_consumption_detection_framework', 'noise_masking_effect', 'critical_theory', 'fear', 'storm_hardening', 'challenge_response', 'locating_domination', 'emotional_reaction', 'intrinsic_and_extrinsic_motivations', 'adversarial_modeling', 'dark_triad', 'collateral_damage', 'mission_level_damage', '“five_hard_problems”', 'anticipatory_ethics', 'adverse_outcomes', 'just_in_time_fear_appeals', 'time_varying_volatility', 'high_risk_line', 'moral_dilemma', 'information_confrontation', 'dark_triad_personality', 'digital_risk', 'it_costs', 'common_vulnerabilities_and_exposures', 'risky_behaviours', 'damage_assessment', 'mission_critical', 'impact_evaluation', 'extrinsic_motivation', 'cascading_failures', 'psychological_impact', 'smart_contract_vulnerabilities', 'extreme_weather', 'criminological_risks', 'classification_problems', 'affect_heuristic', 'ethical_issues', 'institutional_pressures', 'overt_mental_stimuli', 'five_hard_problems', 'moral_obligations', 'mission_impact', 'and_challenges', 'iot_vulnerabilities', 'sexual_predatory', 'typosquatting', 'hotspot_and_cold_spot_effect', 'taint_analysis', 'chaotic_logistic_map', 'emotional_parameters', 'higher_criticism', 'extreme_scale', 'social_dilemmas', 'fault_location', 'severity_impact_level', 'adversarial_examples_generating', 'serious_threat', 'problematization', 'important_characters', 'consequences', 'risky_behaviour', 'critical_materials', 'heavy_duty', 'severity_aspects', 'line_overloads', 'critical_assets', 'anomaly_generation\', ""prisoner\'s_dilemma"", \'complex_traits', 'threat_trees', 'times_series', 'cloud_risk', 'influence_relation', 'troublesome_knowledge', 'extreme_situations', 'severity_assessment', 'major_accident_hazard', 'national_interests', 'systemic_failure_diagram', 'extraneous_acts', 'anomalous_detection', 'sentiment_analysis', 'common_vulnerabilities_and_exposure', 'spillover_uncertainty', 'reputational_damage', 'importance_level_assessment', 'compressive_sensing', 'impact_propagation', 'impact_of_covid_19_pandemic', 'breach_risk', 'high_impact_practice', 'anticipatory_analysis', 'incidence_response', 'dynamic_situational_awareness', 'influencing_factors', 'course_obstacles', 'chaotic_time_series_analysis', 'disturbance_categories', 'risk\\xa0management', 'internal_dynamism', 'general_anxiety_disorder', 'arp_poisoning', 'critical_state', 'voice_stress', 'high_priority_way', 'challenge_questions', 'it_complexity', 'major_event', 'contagion_effects', 'rumor_control', 'fault_tree', 'fear_appeals', 'legal_issues', 'criticality', 'critical_social_theory', 'abuse_reports', 'rough_set', 'chilling_effects', 'measuring_impact', 'mean_time_to_security_failure', 'catastrophe_bond', 'dynamic_assessment', 'systemic_vulnerabilities', 'extreme_operational_condition', 'civil_attack', 'high_data_rate', 'interdependent_risks', 'overconfidence', 'paradigm_crisis', 'emotional_intelligence', 'adversarial_thinking', 'breach_detection_gap', 'critical_information', 'breach_prediction', 'social_desirability_effect', 'harmfulness_evaluation', 'vessel_risk', 'dynamic_difficulty_adjustment', 'information_conflicts', 'cost_of_breach', 'critical_geopolitics']"
Cluster 6 - Cyber Risk Assessment,SubCluster  4,"['vulnerable_populations', 'vulnerability_testing', 'vulnerability_severity_model', 'vulnerability_types_classification', 'vulnerability_analysis', 'qualitative_risk_assessment', 'vulnerability_lifecyle_model', 'vulnerability_database', 'human_vulnerability', 'psychological_development', 'vulnerability_factor', 'vulnerability_assesment', 'psychological_ownership', 'vulnerability_scoring', 'mqtt_vulnerability', 'vulnerability_exploitation_prediction', 'vulnerable_configuration', 'vulnerability_management', 'vulnerability_assessment', 'vulnerability_measurement', 'extreme_vulnerability_disclosure_evd', 'threat_and_vulnerability_assessment', 'iot_vulnerability', 'early_vulnerability_detection', 'vulnerability_detection', 'vulnerability_responsible_disclosure_procedure', 'vulnerability', 'victimization', 'psychological', 'aurora_vulnerability', 'vulnerability_indices', 'victimization_survey', 'vulnerability_discovery_model', 'vulnerability_identification', 'data_vulnerability', 'vulnerability_disclosure', 'vulnerability_ranking', 'coordinated_vulnerability_disclosure', 'vulnerability_reward_program', 'psychological_measures', 'vulnerability_notifications', 'national_vulnerability_database', 'vulnerability_discovery', 'vehicle_vulnerability_scoring_system', 'psychological_contract', 'system_vulnerability', 'behavioral_targeting', 'vulnerability_factors', 'vulnerability_scan', 'application_vulnerability', 'vulnerability_assessment_tools', 'vulnerability_data_sources', 'african_data_protection_measures', 'psychological_principles', 'vulnerability_assessments', 'vulnerability_likelihood', 'perceived_vulnerability', 'vulnerability_scanning', 'potential_weaknesses', 'vulnerability_mitigation', 'vulnerability_exploit_prediction', 'profiles', 'vulnerability_type', 'asset_and_vulnerability_evaluation_octave', 'vulnerability_handling', 'vulnerability_metrics', 'vulnerability_priority_scoring_system', 'vulnerability_disclosure_policies', 'psychological_profiling', 'reentrancy_vulnerability', 'vulnerability_prediction', 'dynamic_vulnerability_analysis', 'psychological_operations', 'site_vulnerability', 'vulnerability.', 'vulnerability_principle', 'vulnerability_lifecycle_model', 'threaten_vulnerability', 'vulnerability_evaluation', 'vulnerability_classification', 'vulnerability_research']"
Cluster 6 - Cyber Risk Assessment,SubCluster  5,"['common_vulnerability_scoring_system', 'risk_based_vulnerability_management', 'risk_assessment_methodology', 'risk_evaluation', 'human_risk_factors', 'probabilistic_risk_analysis', 'hazard_and_operability_study', 'risk_management_framework', 'risk_level', 'risk_responses', 'objective_risk', 'incident_risk_analysis', 'risk_factor', 'risk_based_access_control_model', 'operational_risk_management_services', 'risk_prioritization', 'it_risk_assessment', 'threat_analysis_and_risk_assessment', 'common_vulnerabilities_and_exposure_cve', 'value_at_risk', 'relative_risk', 'value_at_risk_var', 'risk_assessments', 'dynamic_risk', 'risk_assessment', 'risk_analysis', 'system_risk_analysis', 'risk_as_feelings', 'risk_identification', 'risk_assessment_method', 'risk_treatment', 'firm_risk', 'common_vulnerability_score_system_cvss', 'risk_minimization', 'risk_management', 'risk_awareness', 'risk_control', 'risk_taking', 'audit_risk', 'epidemiological_models', 'user_risk', 'risk_tradeoff', 'risk_visualization', 'active_risk_management', 'threat_and_risk_analysis', 'risk_mitigaton', 'common_vulnerability_scoring_system_cvss', 'risk_data_analysis', 'it_risk_governance', 'risk_management_framework_rmf', 'exposure_to_risk', 'risk_estimation', 'hazard_model', 'risk_behaviour', 'risk_matrix', 'risk_managment_framework', 'risk_based_governance', 'risk_scoring', 'hazard_assessment', 'risk_prediction', 'common_vulnerabilities_and_exposures_cve', 'factor_analysis_of_information_risk_institute_fair', 'source_of_risks', 'personal_risk_assessment', 'conceptual_risk_framework', 'state_liability', 'vector_risk_model', 'risk_evaluation_methodology', 'process_hazard_analysis', 'risk_vectors', 'risk_based_prioritization', 'benefit_risk_determination', 'torts_liability', 'risks_in_pki', 'risk_classification', 'risk_disclosure_and_control', 'combination_risk', 'perceived_risk', 'risk_quantification', 'risk_management_strategies', 'hazard_analysis', 'risk_based_approach', 'risk_model', 'risk_controls', 'operational_risk', 'systemic_risk_analysis', 'risk_governance', 'risk_aggregation', 'risk_modeling_and_mitigation.', 'indicator_of_current_risk', 'risk_aversion', 'complex_risk_model', 'risk_analysis_model', 'risk_register', 'risk_controlling', 'information_risk_management', 'risk_rating', 'dynamic_risk_assessment_and_management', 'total_risk', 'dynamic_probabilistic_risk_assessment', 'risk', 'informational_risk', 'risk_management_frameworks', 'risk_rank', 'risk_management_model', 'patrimonial_liability', 'risk_reduction', 'ethics_of_risk', 'it_risk_management', 'risk_framing', 'hazards_analysis', 'operational_risks', 'risk_propensity', 'risk_assessment_framework', 'risk_modelling', 'risk_metric', 'risk_framework', 'adversarial_risk_analysis', 'on_line_risk_analysis', 'risk_mitigation_tool', 'operational_risk_management', 'organization_risk_management', 'risk_mitigation', 'impact_assessment', 'architectural_risk_analysis', 'integrated_risk_management', 'multi_stakeholder_risk_assessment', 'systemic_risks', 'systemic_risk', 'risk_metrics', 'risk_management_risk_mitigation', 'legal_liability', 'risk_perception', 'probabilistic_risk_assessment', 'liability', 'risk_factor_disclosure', 'risk_mitigation_model', 'it_risk', 'residual_risks', 'risk_calculation', 'risk_factors', 'probabilistic_threat_estimation', 'riskiness', 'risk_society_theory', 'risk_disclosure', 'compliance_risks', 'risk_response', 'asset_risk_assessment', 'risk_analisys', 'subjective_risk', 'perceived_ethical_severity', 'risk_taxonomy', 'dynamic_risk_assessment', 'risk_monitoring', 'hazard_classification_category']"
Cluster 6 - Cyber Risk Assessment,SubCluster  6,"['probability_of_selection', 'real_option_theory', 'time_interval', 'scenario_modeling', 'theory_of_planned_behavior', 'beliefs_desires_intentions', 'potential_nash_equilibrium', 'post_exploitation', 'cues_to_action', 'on_call_options', 'forward_error_correction', 'detection_rules', 'challenges_and_opportunities', 'influence_maximization', 'intrinsic_motivation', 'media_framing', 'time_to_event', 'time_critical_applications', 'scenarios_of_an_early_warning', 'coverage_models', 'event_triggered_control', 'the_interpretation_of_the_situation', 'probabilistic_estimate', 'future_airborne_capability_environment_face', 'theoretical_perspective', 'extreme_value_theory', 'tactical_bubble', 'fixed_adjustment_costs', 'event_triggered', 'optimism_bias', 'competing_value_framework', 'attitude_scale', 'raising_awareness_with_storytelling', 'parameters_optimization', 'self_efficacy_theory', 'threshold_concept', 'parameter_estimation', 'adaptive_risk_agents', 'risk_propagation', 'side_effect', 'event_tree_analysis', 'trend_scouting', 'rule_of_prevalence', 'optimistic_bias', 'premium_adjustment', 'deterministic_forecasting', 'prospect_theory', 'precautionary_behavior', 'probabilistic_forecasting', 'time_varying_transition_probabilities', 'event_classification', 'situation_prediction', 'event_detection', 'possibilistic_approach', 'ar_prediction', 'third_party_risk_propagation', 'parameter_opimization', 'conditional_random_fields', 'aviation_risk_model', 'event_triggered_mechanism', 'dispositional_characteristics', 'parameter', 'adaptive_behavior', 'trap', 'uncertainty_quantification', 'targeted_advertising', 'uncertainty_estimation', 'habit_formation', 'trajectory_optimization', 'hurst_parameter', 'prediction_error', 'potential_characteristics', 'cascading_effect', 'extreme_value_theory_evt', 'forward_feature_selection', 'situation_awareness_theory', 'gain_vs._loss_frame', 'rebound_effects', 'distributionally_robust_optimization', 'incident_prediction', 'tail_risks', 'mis_prediction', 'emerging_risks', 'timing_constraints', 'event_related_potential_erp', 'bug_bounty', 'decision_theory', 'expectancy_theory', 'retrospective_counterfactual_risk_analysis', 'hegemonic_stability_theory', 'probability_distribution_density.', 'consequence_prioritization', 'potential_risks', 'fuzzy_probability', 'action_tendencies', 'time_series_forecasting', 'protected_motivated_theory', 'real_option_value_of_delay', 'port_hoping', 'probability_of_occurrence', 'scenario_analysis', 'margin_density', 'dating_app_risks', 'probability_density_function', 'scenario_events', 'hunting_maturity_model', 'real_options', 'affective_events_theory', 'late_positive_potential_lpp', 'probabilistic_modeling', 'intentional_act', 'interpretation_of_situation', 'cascading_events', 'multisociometrical_readiness_characteristics', 'prediction_models', 'dynamic_selection', 'misaligned_incentives', 'time_delay_estimation', 'event_based_detection', 'speculative_execution', 'relevance_estimation', 'premium_principle', 'exploitation_time_prediction', 'behavioral_habit', 'anomaly_score', 'entropy_estimation', 'risk_cube', 'exceptional_access', 'exploratory_projection_pursuit', 'timing_model', 'cascading_effects', 'knowing_doing_gap', 'success_factors', 'message_framing', 'cve_2021_3711_vulnerability', 'conditional_random_field', 'uncertainty_propagation', 'real_options_models', 'novelty_and_outlier_detection', 'distributionally_robust_chance_constrained_optimization', 'likelihood_ratio', 'planned_adaptive_risk_regulation', 'time_triggered', 'probability_distribution', 'event_correlation', 'emerging_risk', 'time_series_classification', 'real_scenarios_analysis', 'critical_success_factors', 'third_party_risk', 'statistical_adversary_model']"
Cluster 6 - Cyber Risk Assessment,SubCluster  7,"['alarm_prioritization', 'threat_detection_and_prevention', 'search_and_rescue', 'warning_systems', 'incident_command_system', 'emergency_response_management', 'preventive_focus', 'disasters', 'emergency_response', 'past_incident_analysis', 'prevention_methods', 'situational_awareness', 'pandemic_crisis', 'risk_assessment_and_mitigation', 'post_conflict_reconstruction', 'disaster_recovery_management', 'post_conflict', 'emergency_response_and_preparedness', 'election_emergency_preparedness', 'pestle_analysis', 'awareness_campaigns', 'disaster_risk_reduction', 'prevention_method', 'infrastructure_risk_mitigation', 'mitigation_strategies', 'preventive_measures', 'news_classification', 'incident_investigation', 'incident_prevention', 'incident_handling', 'emergency_planning', 'disturbance_decouple', 'trauma_assessment', 'early_warning_system', 'context_sensitive_vulnerability_triage_and_mitigation', 'coping_response', 'disaster_risk', 'incident_response_strategies', 'incident_coordination', 'incident_response', 'widespread_event_detection', 'incident_reporting', 'emergency_response_system', 'real_time_warning_system', 'after_action_reports', 'incident_reponse', 'emergency_preparedness', 'signaling_storms', 'disaster_response', 'situational_approach', 'incident_reports', 'past_accident_analysis', 'proactive_and_reactive_measures', 'disaster_recovery', 'preventive_dynamics', 'situation_assessment', 'risk_evaluation_and_mitigation', 'incident_handling_and_response', 'infection_rate', 'epidemic_modeling', 'quick_incident_response', 'preliminary_hazards_analysis', 'infection_prediction', 'hurricane_evacuation', 'state_of_emergency', 'error_prevention', 'disaster_forensics', 'prevention_act', 'preventive_portfolio', 'preventive_dispatch_strategy', 'hazard_identification', 'emergency_alert_system', 'prevention_policy', 'catastrophe_response', 'awareness_campaign', 'crisis_management', 'pandemic_preparedness', 'mitigation_costs', 'emergency_aerial_monitoring_system', 'situation_awareness', 'epidemic_model', 'crisis_management_analyses', 'disaster_risk_management', 'risk_homeostasis', 'incident_commander', 'mitigation_strategy', 'crisis_manage_ment', 'incident_response_process', 'crisis_response', 'prevention_and_reaction', 'epidemic_models', 'disaster_analysis', 'epidemic_threshold', 'awareness_program', 'disaster_preparedness', 'incident_response_management']"
